text,retweet_count,like_count,quote_count,processed_text,vectorized_processed_text,score,rounded_score
1458555069276819461,0,1,0,['1458555069276819461'],[0 0 0 ... 0 0 0],1,0
2021-11-11T08:53:19.000Z,0,0,0,['2021-11-11t08:53:19.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-11T18:00:17.000Z,1,1,0,['2021-11-11t18:00:17.000z'],[0 0 0 ... 0 0 0],2,0
2021-11-11T06:59:04.000Z,0,0,0,['2021-11-11t06:59:04.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-11T03:10:04.000Z,0,0,0,['2021-11-11t03:10:04.000z'],[0 0 0 ... 0 0 0],0,0
1458855746729357324,25,0,0,['1458855746729357324'],[0 0 0 ... 0 0 0],25,25
2021-11-11T18:05:38.000Z,0,0,0,['2021-11-11t18:05:38.000z'],[0 0 0 ... 0 0 0],0,0
1425454808350199820,11,0,0,['1425454808350199820'],[0 0 0 ... 0 0 0],11,10
"RT @SatorSAO: Thank you @NATPE for putting Sator on stage in front of Starz, Fox, Viacom, Discovery and Showtime to discuss NFTs, Sator and…",19,0,0,"['rt', '@', 'satorsao', ':', 'thank', '@', 'natp', 'put', 'sator', 'stage', 'front', 'starz', ',', 'fox', ',', 'viacom', ',', 'discoveri', 'showtim', 'discuss', 'nft', ',', 'sator', 'and…']",[0 4 0 ... 0 0 0],19,20
2021-11-11T18:27:49.000Z,0,1,0,['2021-11-11t18:27:49.000z'],[0 0 0 ... 0 0 0],1,0
1118964780495142912,1003,0,0,['1118964780495142912'],[0 0 0 ... 0 0 0],1003,1005
RT @UCF_Jaguar: Listening to Sirius XM Fantasy Football Radio and this dude says Trevor Lawrence has been “terrible” this year and perhaps…,8,0,0,"['rt', '@', 'ucf_jaguar', ':', 'listen', 'siriu', 'xm', 'fantasi', 'footbal', 'radio', 'dude', 'say', 'trevor', 'lawrenc', '“', 'terribl', '”', 'year', 'perhaps…']",[0 0 0 ... 0 0 0],8,10
2021-11-11T17:27:16.000Z,13,0,0,['2021-11-11t17:27:16.000z'],[0 0 0 ... 0 0 0],13,15
2021-11-10T23:12:09.000Z,0,0,0,['2021-11-10t23:12:09.000z'],[0 0 0 ... 0 0 0],0,0
1202829703607808001,1,1,0,['1202829703607808001'],[0 0 0 ... 0 0 0],2,0
1458826838663385096,0,0,0,['1458826838663385096'],[0 0 0 ... 0 0 0],0,0
1458870550986645506,0,0,0,['1458870550986645506'],[0 0 0 ... 0 0 0],0,0
2021-11-11T18:56:35.000Z,0,0,0,['2021-11-11t18:56:35.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-09T18:46:11.000Z,0,0,0,['2021-11-09t18:46:11.000z'],[0 0 0 ... 0 0 0],0,0
Jefferies Financial Group Comments on MGM Resorts International’s Q4 2021 Earnings $MGM https://t.co/MIZj2V1eLi,0,0,0,"['jefferi', 'financi', 'group', 'comment', 'mgm', 'resort', 'intern', '’', 'q4', '2021', 'earn', '$', 'mgm', 'http', ':', '//t.co/mizj2v1']",[0 0 0 ... 0 0 0],0,0
2021-11-11T16:36:48.000Z,0,0,0,['2021-11-11t16:36:48.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-11T18:45:36.000Z,99,97,2,['2021-11-11t18:45:36.000z'],[0 0 0 ... 0 0 0],198,200
1458836300094599171,0,0,0,['1458836300094599171'],[0 0 0 ... 0 0 0],0,0
2021-11-11T14:58:20.000Z,2,0,0,['2021-11-11t14:58:20.000z'],[0 0 0 ... 0 0 0],2,0
1458718981397831682,0,0,0,['1458718981397831682'],[0 0 0 ... 0 0 0],0,0
RT @AlchemyPay: We are excited to announce a strategic partnership with @Neo_Blockchain to enable NEO for global payments including Shopify…,271,0,0,"['rt', '@', 'alchemypay', ':', 'we', 'excit', 'announc', 'strateg', 'partnership', '@', 'neo_blockchain', 'enabl', 'neo', 'global', 'payment', 'includ', 'shopify…']",[0 0 0 ... 0 0 0],271,270
2021-11-11T18:27:14.000Z,0,0,0,['2021-11-11t18:27:14.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-11T14:23:35.000Z,0,1,0,['2021-11-11t14:23:35.000z'],[0 0 0 ... 0 0 0],1,0
2021-11-11T04:18:28.000Z,0,0,0,['2021-11-11t04:18:28.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-11T18:01:59.000Z,0,0,0,['2021-11-11t18:01:59.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-11T18:57:05.000Z,601,0,0,['2021-11-11t18:57:05.000z'],[0 0 0 ... 0 0 0],601,600
1458811348192829446,0,0,0,['1458811348192829446'],[0 0 0 ... 0 0 0],0,0
2021-11-11T16:04:05.000Z,0,7,0,['2021-11-11t16:04:05.000z'],[0 0 0 ... 0 0 0],7,5
1288604578506846216,7,0,0,['1288604578506846216'],[0 0 0 ... 0 0 0],7,5
394268567,0,0,0,['394268567'],[0 0 0 ... 0 0 0],0,0
"Meet Sunny M. Montas, a member of Amgen’s legal team, who served in the U.S. Marine Corps @USMC for 22 years. Her story completes our year-long People of Amgen series and we’re honored to share it in support of #VeteransDay2021.",3,11,1,"['meet', 'sunni', 'm.', 'monta', ',', 'member', 'amgen', '’', 'legal', 'team', ',', 'serv', 'u.s.', 'marin', 'corp', '@', 'usmc', '22', 'year', '.', 'her', 'stori', 'complet', 'year-long', 'peopl', 'amgen', 'seri', '’', 'honor', 'share', 'support', '#', 'veteransday2021', '.']",[1 2 0 ... 0 0 0],15,15
"JetBlue Airways flight #JBU131 spotted at 15,650 feet! https://t.co/IF5SYqwMVJ",0,0,0,"['jetblu', 'airway', 'flight', '#', 'jbu131', 'spot', '15,650', 'feet', '!', 'http', ':', '//t.co/if5syqwmvj']",[1 0 0 ... 0 0 0],0,0
Insight de El Pulso del Consumidor MIDA-Wapa Powered by Omnicom Group #MIDA #MIDAPR #FoodNetworking #PowerByOmnicomGroup #DataDriven @midapr @WapaTV https://t.co/hyYSBfyIdR,0,0,0,"['insight', 'de', 'el', 'pulso', 'del', 'consumidor', 'mida-wapa', 'power', 'omnicom', 'group', '#', 'mida', '#', 'midapr', '#', 'foodnetwork', '#', 'powerbyomnicomgroup', '#', 'datadriven', '@', 'midapr', '@', 'wapatv', 'http', ':', '//t.co/hyysbfyidr']",[5 0 0 ... 0 0 0],0,0
1458871482239574018,0,0,0,['1458871482239574018'],[0 0 0 ... 0 0 0],0,0
RT @salinterdonato: Jeff Monken on Veterans Day during his Sirius XM’s Dusty and Danny In The Morning interview #ArmyFootballl https://t.co…,8,0,0,"['rt', '@', 'salinterdonato', ':', 'jeff', 'monken', 'veteran', 'day', 'siriu', 'xm', '’', 'dusti', 'danni', 'in', 'the', 'morn', 'interview', '#', 'armyfootball', 'http', ':', '//t.co…']",[1 0 0 ... 0 0 0],8,10
"RT @BaylorWBB: 🏀 𝗚𝗔𝗠𝗘𝗗𝗔𝗬 🏀

🆚 UT Arlington
⏰ 6PM
📍 College Park Center
📺 ESPN+
📻 ESPN Central Texas / Sirius XM 375
📈 https://t.co/4j3uhAXH…",14,0,0,"['rt', '@', 'baylorwbb', ':', '🏀', '𝗚𝗔𝗠𝗘𝗗𝗔𝗬', '🏀', '🆚', 'ut', 'arlington', '⏰', '6pm', '📍', 'colleg', 'park', 'center', '📺', 'espn+', '📻', 'espn', 'central', 'texa', '/', 'siriu', 'xm', '375', '📈', 'http', ':', '//t.co/4j3uhaxh…']",[0 0 0 ... 0 0 0],14,15
RT @CrytoUpdate: **New**  @AlchemyPay partners with another Huge project @Neo_Blockchain to enable global payments including @Shopify and o…,4,0,0,"['rt', '@', 'crytoupd', ':', '*', '*', 'new', '*', '*', '@', 'alchemypay', 'partner', 'anoth', 'huge', 'project', '@', 'neo_blockchain', 'enabl', 'global', 'payment', 'includ', '@', 'shopifi', 'o…']",[0 0 0 ... 0 0 0],4,5
2021-11-11T18:57:18.000Z,0,0,0,['2021-11-11t18:57:18.000z'],[0 0 0 ... 0 0 0],0,0
"RT @PerfectFiOrg: @FedEx @Cigna Intentional about evading taxes. ""FedEx zeroed out its federal income tax on $1.2 billion of U.S. pretax in…",1,0,0,"['rt', '@', 'perfectfiorg', ':', '@', 'fedex', '@', 'cigna', 'intent', 'evad', 'tax', '.', '``', 'fedex', 'zero', 'feder', 'incom', 'tax', '$', '1.2', 'billion', 'u.s.', 'pretax', 'in…']",[0 0 0 ... 0 0 0],1,0
2021-11-11T18:57:18.000Z,725,0,0,['2021-11-11t18:57:18.000z'],[0 0 0 ... 0 0 0],725,725
RT @AlchemyPay: We are excited to announce a strategic partnership with @Neo_Blockchain to enable NEO for global payments including Shopify…,271,0,0,"['rt', '@', 'alchemypay', ':', 'we', 'excit', 'announc', 'strateg', 'partnership', '@', 'neo_blockchain', 'enabl', 'neo', 'global', 'payment', 'includ', 'shopify…']",[0 0 0 ... 0 0 0],271,270
2021-11-10T14:01:25.000Z,0,0,0,['2021-11-10t14:01:25.000z'],[0 0 0 ... 0 0 0],0,0
1458871479454650378,0,0,0,['1458871479454650378'],[0 0 0 ... 0 1 0],0,0
"RT @HunVizslainu: Unofficial, but why not can it happen? 🙃 @elonmusk @SpaceX @Tesla https://t.co/oLHLhHRas1",51,0,0,"['rt', '@', 'hunvizslainu', ':', 'unoffici', ',', 'happen', '?', '🙃', '@', 'elonmusk', '@', 'spacex', '@', 'tesla', 'http', ':', '//t.co/olhlhhras1']",[0 1 0 ... 0 0 0],51,50
2021-11-11T03:27:59.000Z,0,0,0,['2021-11-11t03:27:59.000z'],[0 0 0 ... 0 0 0],0,0
@RoccoNaut @RxyzrCSGO @HRehburg Oh doch :-) Sehr einfach sogar. https://t.co/9Z0OdKquvR wäre die einfachste Methode - sind aber nicht die besten. Du kannst auch auf eBay und manchen Seiten bestimmt ein passendes von Corning finden.,0,0,0,"['@', 'rocconaut', '@', 'rxyzrcsgo', '@', 'hrehburg', 'oh', 'doch', ':', '-', ')', 'sehr', 'einfach', 'sogar', '.', 'http', ':', '//t.co/9z0odkquvr', 'wäre', 'die', 'einfachst', 'method', '-', 'sind', 'aber', 'nicht', 'die', 'besten', '.', 'du', 'kannst', 'auch', 'auf', 'ebay', 'und', 'manchen', 'seiten', 'bestimmt', 'ein', 'passend', 'von', 'corn', 'finden', '.']",[0 0 0 ... 0 0 0],0,0
2021-11-10T15:58:40.000Z,1,0,0,['2021-11-10t15:58:40.000z'],[0 0 0 ... 0 0 0],1,0
1458820679894290436,0,1,0,['1458820679894290436'],[0 0 0 ... 0 0 0],1,0
931923031739584512,1003,0,0,['931923031739584512'],[0 0 0 ... 0 0 0],1003,1005
2021-11-11T18:08:47.000Z,0,0,0,['2021-11-11t18:08:47.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-10T22:06:03.000Z,1,0,0,['2021-11-10t22:06:03.000z'],[0 0 0 ... 0 0 0],1,0
RT @jhnsn57_deb: https://t.co/eu6N6hju3w,1,0,0,"['rt', '@', 'jhnsn57_deb', ':', 'http', ':', '//t.co/eu6n6hju3w']",[0 0 0 ... 0 0 0],1,0
2021-11-11T14:00:24.000Z,0,3,0,['2021-11-11t14:00:24.000z'],[0 0 0 ... 0 0 0],3,5
1458870226292920328,0,0,0,['1458870226292920328'],[0 0 0 ... 0 0 0],0,0
1166779105540497408,17,0,0,['1166779105540497408'],[0 0 0 ... 0 0 0],17,15
RT @gumby4christ: Incredible 2016 interview w/James Patterson on his Epstein book. Patterson denies any wrongdoing by Trump or Clinton and…,14,0,0,"['rt', '@', 'gumby4christ', ':', 'incred', '2016', 'interview', 'w/jame', 'patterson', 'epstein', 'book', '.', 'patterson', 'deni', 'wrongdo', 'trump', 'clinton', 'and…']",[0 0 0 ... 0 0 0],14,15
147254487,0,0,0,['147254487'],[0 0 0 ... 0 0 0],0,0
1458863890729684993,0,0,0,['1458863890729684993'],[0 0 0 ... 0 0 0],0,0
2021-11-11T18:47:35.000Z,0,0,0,['2021-11-11t18:47:35.000z'],[0 0 0 ... 0 0 0],0,0
4103637017,0,0,0,['4103637017'],[0 0 0 ... 0 0 0],0,0
2021-11-11T17:57:03.000Z,0,0,0,['2021-11-11t17:57:03.000z'],[0 0 0 ... 0 0 0],0,0
1458871013890936863,0,0,0,['1458871013890936863'],[0 0 0 ... 0 0 0],0,0
1427188531726675970,0,0,0,['1427188531726675970'],[0 0 0 ... 0 0 0],0,0
18636950,0,0,0,['18636950'],[0 0 0 ... 0 0 0],0,0
2021-11-11T18:53:49.000Z,0,0,0,['2021-11-11t18:53:49.000z'],[0 0 0 ... 0 0 0],0,0
976297820532518914,0,0,0,['976297820532518914'],[0 0 0 ... 0 0 0],0,0
"@DeanObeidallah Besides Sirius XM Progress 124 (which I listen to and love), what other media are worth paying attention to?  BBC World?  NPR?  PBS News Hour?",0,0,0,"['@', 'deanobeidallah', 'besid', 'siriu', 'xm', 'progress', '124', '(', 'i', 'listen', 'love', ')', ',', 'media', 'worth', 'pay', 'attent', '?', 'bbc', 'world', '?', 'npr', '?', 'pb', 'new', 'hour', '?']",[0 1 0 ... 0 0 0],0,0
1458868580267745287,0,0,0,['1458868580267745287'],[0 0 0 ... 0 0 0],0,0
2021-11-11T10:48:38.000Z,0,0,0,['2021-11-11t10:48:38.000z'],[0 0 0 ... 0 0 0],0,0
97698902,0,0,0,['97698902'],[0 0 0 ... 0 0 0],0,0
2021-11-11T18:47:26.000Z,3,0,0,['2021-11-11t18:47:26.000z'],[0 0 0 ... 0 0 0],3,5
1458484609725833221,1,10,0,['1458484609725833221'],[0 0 0 ... 0 0 0],11,10
2021-11-11T18:56:57.000Z,2,0,0,['2021-11-11t18:56:57.000z'],[0 0 0 ... 0 0 0],2,0
2603583582,2,35,0,['2603583582'],[0 0 0 ... 0 0 0],37,35
1458467435435200515,0,0,0,['1458467435435200515'],[0 0 0 ... 0 0 0],0,0
1458867496967045121,0,0,0,['1458867496967045121'],[0 0 0 ... 0 0 0],0,0
2021-11-11T17:45:49.000Z,6,0,0,['2021-11-11t17:45:49.000z'],[0 0 0 ... 0 0 0],6,5
2021-11-11T16:40:35.000Z,0,0,0,['2021-11-11t16:40:35.000z'],[0 0 0 ... 0 0 0],0,0
"RT @StampStigma: 🇺🇸 @MHFirstAidUSA for Military Members, Veterans &amp; Families: https://t.co/XwGSzYeRdK

🇺🇸 Military Crisis Line: Call 1-800-…",14,0,0,"['rt', '@', 'stampstigma', ':', '🇺🇸', '@', 'mhfirstaidusa', 'militari', 'member', ',', 'veteran', '&', 'amp', ';', 'famili', ':', 'http', ':', '//t.co/xwgszyerdk', '🇺🇸', 'militari', 'crisi', 'line', ':', 'call', '1-800-…']",[0 1 0 ... 0 0 0],14,15
1458869788298596362,488,0,0,['1458869788298596362'],[0 0 0 ... 0 0 0],488,490
25110158,0,2,0,['25110158'],[0 0 0 ... 0 0 0],2,0
1458868518091468801,15,0,0,['1458868518091468801'],[0 0 0 ... 0 0 0],15,15
1458870150229377025,1098,0,0,['1458870150229377025'],[0 0 0 ... 0 0 0],1098,1100
2021-11-11T13:55:26.000Z,0,0,0,['2021-11-11t13:55:26.000z'],[0 0 0 ... 0 0 0],0,0
1458870190217711626,6,0,0,['1458870190217711626'],[0 0 0 ... 0 0 0],6,5
"RBC Capital, Morgan Stanley Bump Up Equifax Price Target $EFX https://t.co/u3KA5cHrfe",0,0,0,"['rbc', 'capit', ',', 'morgan', 'stanley', 'bump', 'up', 'equifax', 'price', 'target', '$', 'efx', 'http', ':', '//t.co/u3ka5chrf']",[0 1 0 ... 0 0 0],0,0
2021-11-10T03:13:24.000Z,0,0,0,['2021-11-10t03:13:24.000z'],[0 0 0 ... 0 0 0],0,0
1015268417195184128,0,0,0,['1015268417195184128'],[0 0 0 ... 0 0 0],0,0
2021-11-11T18:18:15.000Z,0,2,0,['2021-11-11t18:18:15.000z'],[0 0 0 ... 0 0 0],2,0
2021-11-10T20:09:10.000Z,0,0,0,['2021-11-10t20:09:10.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-10T06:13:07.000Z,0,0,0,['2021-11-10t06:13:07.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-11T00:33:00.000Z,0,0,0,['2021-11-11t00:33:00.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-11T16:39:46.000Z,3,4,0,['2021-11-11t16:39:46.000z'],[0 0 0 ... 0 0 0],7,5
"We are honored and grateful to employ veterans at AMETEK MOCON. We appreciate each of you who have served our country to protect our freedoms. Happy Veterans Day 2021!

#VeteransDay #ThankYouVets https://t.co/ftYw9vN2Bt",0,2,0,"['we', 'honor', 'grate', 'employ', 'veteran', 'ametek', 'mocon', '.', 'we', 'appreci', 'serv', 'countri', 'protect', 'freedom', '.', 'happi', 'veteran', 'day', '2021', '!', '#', 'veteransday', '#', 'thankyouvet', 'http', ':', '//t.co/ftyw9vn2bt']",[2 0 0 ... 0 0 0],2,0
"JetBlue Airways flight #JBU1874 spotted at 17,075 feet! https://t.co/Yw0yZkS8Dp",0,0,0,"['jetblu', 'airway', 'flight', '#', 'jbu1874', 'spot', '17,075', 'feet', '!', 'http', ':', '//t.co/yw0yzks8dp']",[1 0 0 ... 0 0 0],0,0
28826479,3,33,0,['28826479'],[0 0 0 ... 0 0 0],36,35
1458869856216965120,2,0,0,['1458869856216965120'],[0 0 0 ... 0 0 0],2,0
1458870443071397898,739,0,0,['1458870443071397898'],[0 0 0 ... 0 0 0],739,740
"@joeovies I just went to the Wegman's in Chapel Hill. How could a grocery store get any more amazing? I thought this 25 years ago the first time I saw a Wegman's in Corning, New York. What could they possibly do to top what I just saw.",0,0,0,"['@', 'joeovi', 'i', 'went', 'wegman', ""'s"", 'chapel', 'hill', '.', 'how', 'could', 'groceri', 'store', 'get', 'amaz', '?', 'i', 'thought', '25', 'year', 'ago', 'first', 'time', 'i', 'saw', 'wegman', ""'s"", 'corn', ',', 'new', 'york', '.', 'what', 'could', 'possibl', 'top', 'i', 'saw', '.']",[0 1 0 ... 0 0 0],0,0
2021-11-11T18:40:30.000Z,0,0,0,['2021-11-11t18:40:30.000z'],[0 0 0 ... 0 0 0],0,0
1458850719394533377,0,0,0,['1458850719394533377'],[0 0 0 ... 0 0 0],0,0
1458868536638595087,0,0,0,['1458868536638595087'],[0 0 0 ... 0 0 0],0,0
1399103920522334219,0,0,0,['1399103920522334219'],[0 0 0 ... 0 0 0],0,0
121158213,0,0,0,['121158213'],[0 0 0 ... 0 0 0],0,0
1458525513950105602,2,0,0,['1458525513950105602'],[0 0 0 ... 0 0 0],2,0
2021-11-11T17:30:55.000Z,0,1,0,['2021-11-11t17:30:55.000z'],[0 0 0 ... 0 0 0],1,0
RT @gumby4christ: Incredible 2016 interview w/James Patterson on his Epstein book. Patterson denies any wrongdoing by Trump or Clinton and…,14,0,0,"['rt', '@', 'gumby4christ', ':', 'incred', '2016', 'interview', 'w/jame', 'patterson', 'epstein', 'book', '.', 'patterson', 'deni', 'wrongdo', 'trump', 'clinton', 'and…']",[0 0 0 ... 0 0 0],14,15
2021-11-11T18:18:15.000Z,0,0,0,['2021-11-11t18:18:15.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-11T17:56:41.000Z,78,0,0,['2021-11-11t17:56:41.000z'],[0 0 0 ... 0 0 0],78,80
1457810213877190656,0,0,0,['1457810213877190656'],[0 0 0 ... 0 0 0],0,0
2021-11-10T09:13:35.000Z,0,0,0,['2021-11-10t09:13:35.000z'],[0 0 0 ... 0 0 0],0,0
1458867665666297857,0,0,0,['1458867665666297857'],[0 0 0 ... 0 0 0],0,0
1458871492339458049,1,1,0,['1458871492339458049'],[0 0 0 ... 0 0 0],2,0
"34 institutions holding - Morgan Stanley average price roughly $3.15

13% of float held by institutions.....

$FTFT https://t.co/m0vyPUCLSE",0,0,0,"['34', 'institut', 'hold', '-', 'morgan', 'stanley', 'averag', 'price', 'roughli', '$', '3.15', '13', '%', 'float', 'held', 'institut', '.....', '$', 'ftft', 'http', ':', '//t.co/m0vypucls']",[0 0 0 ... 0 0 0],0,0
"RT @WSlightly: https://t.co/IElfCuMgLd🇺🇸Nektar🇪🇺Therapeutics
#COVID19 #Immune2cancer #immunotherapy #myeloma #autoimmune inflammatory #mela…",110,0,0,"['rt', '@', 'wslightli', ':', 'http', ':', '//t.co/ielfcumgld🇺🇸nektar🇪🇺therapeut', '#', 'covid19', '#', 'immune2canc', '#', 'immunotherapi', '#', 'myeloma', '#', 'autoimmun', 'inflammatori', '#', 'mela…']",[6 0 0 ... 0 0 0],110,110
1458870165769236486,0,1,0,['1458870165769236486'],[0 0 0 ... 0 0 0],1,0
2021-11-11T16:15:13.000Z,0,2,0,['2021-11-11t16:15:13.000z'],[0 0 0 ... 0 0 0],2,0
1458849428748443652,40,0,0,['1458849428748443652'],[0 0 0 ... 0 0 0],40,40
2021-11-11T14:14:06.000Z,0,0,0,['2021-11-11t14:14:06.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-10T18:04:33.000Z,2,0,0,['2021-11-10t18:04:33.000z'],[0 0 0 ... 0 0 0],2,0
1458866133940027397,25,0,0,['1458866133940027397'],[0 0 0 ... 0 0 0],25,25
2021-11-09T22:48:59.000Z,1,0,0,['2021-11-09t22:48:59.000z'],[0 0 0 ... 0 0 0],1,0
1458817444110385153,33,0,0,['1458817444110385153'],[0 0 0 ... 0 0 0],33,35
1458796721996279812,0,0,0,['1458796721996279812'],[0 0 0 ... 0 0 0],0,0
2021-11-11T18:00:03.000Z,0,0,0,['2021-11-11t18:00:03.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-09T18:43:58.000Z,0,0,0,['2021-11-09t18:43:58.000z'],[0 0 0 ... 0 0 0],0,0
1458870776472424454,1,0,0,['1458870776472424454'],[0 0 0 ... 0 0 0],1,0
2021-11-11T18:57:22.000Z,377,0,0,['2021-11-11t18:57:22.000z'],[0 0 0 ... 0 0 0],377,375
1334480223950270464,0,0,0,['1334480223950270464'],[0 0 0 ... 0 0 0],0,0
